repoName,branch,javaVersion,style,buildTool,buildAction,skip,skipReason
Cooperari/cooperari,master,8,,maven,,,
CoppernicSoftware/versioning,master,8,,gradlew,,,
CoreMedia/jangaroo-tools,master-4.1,8,,maven,,,
CorfuDB/CorfuDB,master,8,,maven,,,
CraftCoderr/GradleDeploy,master,8,,gradlew,,,
CrawlScript/WebCollector,master,8,,maven,,,
Crimix/ChangedProjectsTaskPlugin,main,8,,gradlew,,true,Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain (gradlew present but wrapper jar missing)
Crimix/ReplacePlaceholdersPlugin,main,8,,gradlew,,true,Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain (gradlew present but wrapper jar missing)
CruxFramework/crux,master,8,,maven,,,
Cue/greplin-bloom-filter,master,8,,maven,,,
CyberAgent/android-gpuimage,master,8,,gradlew,,,
CybercentreCanada/assemblyline-java-client,main,8,,maven,,,
CymChad/BaseRecyclerViewAdapterHelper,master,8,,gradlew,,,
CypherCove/IconDivvy,main,8,,gradlew,,,
DALDEI/ivypot-gradle-plugin,master,8,,gradlew,,,
DDT-IDE/DDT,master,8,,maven,,,
DF1E/SimpleExplorer,master,8,,gradlew,,true,Build uses Gradle 2.x
DHosseiny/ThemeSwitcher,master,8,,gradlew,,,
DNAlchemist/gradle-maven-publish-auth,master,8,,gradlew,,,
DNAlchemist/maven-publish-plugin,master,8,,gradlew,,,
DSRCorporation/imf-conversion,master,8,,gradlew,,true,Build uses Gradle 2.x
DSpace/DSpace,main,8,,maven,,,
DTStack/Taier,master,8,,maven,,,
DaemonicLabs/KNote,master,8,,gradlew,,,
DaemonicLabs/PersistentCounter,master,8,,gradlew,,,
DanielRBaird/NativeStringsPlugin,master,8,,gradlew,,,
Danielecantatore/AndroidUtilCode,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
DanySK/SmarTrRR,master,8,,gradlew,,true,Build uses Gradle 2.x
DanySK/Template-for-Gradle-Plugins,master,8,,gradlew,,,
DanySK/build-commons,master,8,,gradlew,,,
DanySK/git-sensitive-semantic-versioning-gradle-plugin,master,8,,gradlew,,,
DanySK/gradle-java-qa,master,8,,gradlew,,,
DanySK/gradle-kotlin-qa,master,8,,gradlew,,,
DanySK/gradle-latex,master,8,,gradlew,,,
DanySK/gradle-pre-commit-git-hooks,master,8,,gradlew,,,
DanySK/javadoc.io-linker,master,8,,gradlew,,,
DanySK/maven-central-gradle-plugin,master,8,,gradlew,,,
DanySK/multi-jvm-test-plugin,master,8,,gradlew,,,
DanySK/publish-on-central,master,8,,gradlew,,,
DataBiosphere/consent,develop,8,,maven,,,
DataBiosphere/terra-workspace-manager,main,8,,gradlew,,,
DataDog/datadog-api-client-java,master,8,,maven,,,
DataDog/datadog-kafka-connect-logs,master,8,,maven,,,
DataDog/datadog-lambda-java,main,8,,gradlew,,true,Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain (gradlew present but wrapper jar missing)
DataDog/dd-continuous-profiler-dash2021,main,8,,gradlew,,,
DataDog/dd-trace-java-kinesis-example,master,8,,maven,,,
DataDog/java-dogstatsd-client,master,8,,maven,,,
DataDog/jmeter-datadog-backend-listener,main,8,,maven,,,
DataDog/jmxfetch,master,8,,maven,,,
DataDog/openapi-generator,master,8,,maven,,,
DataDog/sketches-java,master,8,,gradlew,,,
DavidNexuss/BullNexMC-Plugin,master,8,,maven,,,
DavidTanner/aws-beanstalk-publisher,master,8,,maven,,,
DaxiaK/MyDiary,master,8,,gradlew,,true,Build uses Gradle 3.x
DbMaintain/dbmaintain,develop,8,,maven,,,
DeepBlueRobotics/DeepBlueSim,master,8,,gradlew,,,
DeflatedPickle/gradle-concurnas,master,8,,gradlew,,true,Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain (gradlew present but wrapper jar missing)
DengSinkiang/sk-admin,master,8,,maven,,,
Desperado24/apkreduce,master,8,,gradlew,,true,Build uses Gradle 3.x
DeveloperCielo/LIO-SDK-API-Integracao-Remota-v1-Java,master,8,,gradlew,,true,Build uses Gradle 2.x
Devlight/InfiniteCycleViewPager,master,8,,gradlew,,true,Build uses Gradle 2.x
Devlight/NavigationTabBar,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
DharmPatel/my-application,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
DharmendraVinay/Hibernate-ORM,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
DharmendraVinay/gradle,master,8,,gradlew,,,
Dictanova/gora-gradle-plugin,master,8,,gradlew,,true,Build uses Gradle 2.x
Dictanova/gradle-jcasgen-plugin,master,8,,gradlew,,,
DigitalPebble/behemoth,master,8,,maven,,,
DigitalPebble/storm-crawler,master,11,,maven,,,
Digithurst/gradle-truststore-plugin,master,8,,gradlew,,,
DimuthuKasunWP/OFBIZ-Milky-Fresh-Diaries,master,8,,gradlew,,,
Diolor/Swipecards,master,8,,gradlew,,true,Build uses Gradle 2.x
Discord4J/Discord4J,master,8,,gradlew,,,
Dispader/manifesto,master,8,,gradlew,,,
Doist/android-translations-check,main,8,,gradlew,,,
Doist/changelog-gradle-plugin,main,8,,gradlew,,,
Doist/kotlin-warning-baseline,main,8,,gradlew,,,
Doist/ktlint-gradle-plugin,main,8,,gradlew,,,
Doist/version-name-gradle-plugin,main,8,,gradlew,,,
Double-O-Seven/kamp-plugin-wrapper-generator,master,8,,gradlew,,,
